"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Tyler Higbee",2500,"Mia@LA 04:05PM ET",0.744,"LA"
"TE","Temarrick Hemingway",2500,"Mia@LA 04:05PM ET",0.000,"LA"
"TE","Dominique Jones",2500,"Mia@LA 04:05PM ET",3.480,"Mia"
"TE","Thomas Duarte",2500,"Mia@LA 04:05PM ET",0.000,"Mia"
"TE","Kyle Nelson",2500,"NE@SF 04:25PM ET",0.000,"SF"
"TE","Matt Lengel",2500,"NE@SF 04:25PM ET",0,"NE"
"TE","Blake Bell",2500,"NE@SF 04:25PM ET",0.375,"SF"
"TE","Je'Ron Hamm",2500,"NE@SF 04:25PM ET",0.000,"SF"
"TE","Brent Celek",2500,"Phi@Sea 04:25PM ET",1.644,"Phi"
"TE","Luke Willson",2500,"Phi@Sea 04:25PM ET",2.200,"Sea"
"TE","Brandon Williams",2500,"Phi@Sea 04:25PM ET",0.289,"Sea"
"TE","Trey Burton",2500,"Phi@Sea 04:25PM ET",4.138,"Phi"
"TE","Nick Vannett",2500,"Phi@Sea 04:25PM ET",0.340,"Sea"
"DST","Eagles ",2500,"Phi@Sea 04:25PM ET",10.444,"Phi"
"TE","Jared Cook",2500,"GB@Was 08:30PM ET",3.767,"GB"
"TE","Justin Perillo",2500,"GB@Was 08:30PM ET",0.833,"GB"
"TE","Derek Carrier",2500,"GB@Was 08:30PM ET",0.000,"Was"
"DST","Jaguars ",2400,"Jax@Det 01:00PM ET",2.333,"Jax"
"DST","Titans ",2200,"Ten@Ind 01:00PM ET",5.600,"Ten"
"DST","Browns ",2100,"Pit@Cle 01:00PM ET",3.100,"Cle"
"DST","49ers ",2000,"NE@SF 04:25PM ET",4.444,"SF"
