"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16939-23045","K","Justin","","Tucker","10.666666666666666","9","5000","BAL@DAL","BAL","DAL","","","",""
"16939-31241","WR","Sammie","","Coates","7.222222222222222","9","5000","PIT@CLE","PIT","CLE","","","",""
"16939-6668","K","Adam","","Vinatieri","10.777777777777779","9","5000","TEN@IND","IND","TEN","","","",""
"16939-26141","QB","Ryan","","Nassib","6.71999979019165","1","5000","CHI@NYG","NYG","CHI","","","",""
"16939-6687","QB","Mark","","Sanchez","0.11999999731779099","1","5000","BAL@DAL","DAL","BAL","","","",""
"16939-23075","QB","Alex","","Tanney","7.960000038146973","1","5000","TEN@IND","TEN","IND","","","",""
"16939-30253","QB","Jeff","","Driskel","0","0","5000","BUF@CIN","CIN","BUF","","","",""
"16939-8803","QB","Chase","","Daniel","-0.019999999552965164","2","5000","PHI@SEA","PHI","SEA","","","",""
"16939-32366","QB","Jameill","","Showers","0","0","5000","BAL@DAL","DAL","BAL","","","",""
"16939-34459","QB","B.J.","","Daniels","0.9200000166893005","4","5000","CHI@NYG","CHI","NYG","","","",""
"16939-47772","QB","Brandon","","Doughty","0","0","5000","MIA@LA","MIA","LA","","","",""
"16939-31421","QB","Zach","","Mettenberger","7.028571537562779","7","5000","PIT@CLE","PIT","CLE","","","",""
"16939-26355","QB","Logan","","Thomas","0","0","5000","CHI@NYG","NYG","CHI","","","",""
"16939-29445","QB","Sean","","Mannion","1.2400000095367432","1","5000","MIA@LA","LA","MIA","","","",""
"16939-70446","QB","Joe","","Callahan","0","0","5000","PIT@CLE","CLE","PIT","","","",""
"16939-70464","QB","Josh","","Woodrum","0","0","5000","CHI@NYG","CHI","NYG","","","",""
"16939-8023","QB","Josh","","Johnson","0","0","5000","CHI@NYG","NYG","CHI","","","",""
"16939-28515","QB","Cardale","","Jones","0","0","5000","BUF@CIN","BUF","CIN","","","",""
"16939-8071","QB","Dan","","Orlovsky","5.519999980926514","2","5000","JAC@DET","DET","JAC","","","",""
"16939-33702","QB","Ryan","","Griffin","0","0","5000","TB@KC","TB","KC","","","",""
"16939-39859","TE","Jack","","Doyle","8.877777947319878","9","5000","TEN@IND","IND","TEN","","","",""
"16939-43956","QB","David","","Fales","0","0","5000","BAL@DAL","BAL","DAL","","","",""
"16939-30652","WR","Tanner","","McEvoy","3.22400016784668","5","5000","PHI@SEA","SEA","PHI","","","",""
"16939-14339","RB","Dion","","Lewis","14.599999564034599","7","4900","NE@SF","NE","SF","","","",""
"16939-12541","D","New England","","Patriots","6.222222222222222","9","4900","NE@SF","NE","SF","","","",""
"16939-12547","D","Pittsburgh","","Steelers","4.111111111111111","9","4900","PIT@CLE","PIT","CLE","","","",""
"16939-39280","RB","Derrick","","Henry","5.155555725097656","9","4900","TEN@IND","TEN","IND","","","",""
"16939-21952","WR","Michael","","Floyd","8.225000381469727","8","4900","ARI@MIN","ARI","MIN","","","",""
"16939-6704","WR","Percy","","Harvin","8.080000305175782","5","4900","BUF@CIN","BUF","CIN","","","",""
"16939-14905","WR","Kamar","","Aiken","2.788888931274414","9","4900","BAL@DAL","BAL","DAL","","","",""
"16939-27229","RB","Ameer","","Abdullah","12.149999618530273","2","4900","JAC@DET","DET","JAC","IR","Foot","",""
"16939-33472","RB","C.J.","","Prosise","7.480000305175781","5","4900","PHI@SEA","SEA","PHI","","","",""
"16939-7900","K","Stephen","","Gostkowski","7.666666666666667","9","4900","NE@SF","NE","SF","","","",""
